#{"t_start": 1747477769.8807385, "env_id": "BuildingEnv"}
r,l,t
-92507484.745304,16166,6.394001
-81971977.72868,16166,12.528508
-78527284.165153,16166,18.708438
-66680054.033263,16166,25.99783
-58817197.125442,16166,33.726663
-38098436.714873,16166,42.010433
-33679831.383674,16166,49.065739
-26472056.758763,16166,55.145134
-29077805.44867,16166,64.384596
-25991554.100279,16166,72.842614
-27698613.398704,16166,79.404388
-30108945.205742,16166,86.008981
-27045130.041018,16166,92.581702
-26712526.395292,16166,100.235596
-30011869.219315,16166,107.89667
-27078876.974135,16166,114.972547
-26273958.059698,16166,123.728282
-25535296.558262,16166,132.46085
-25385887.809759,16166,138.662548
-22720896.369148,16166,144.670039
-23538543.937735,16166,153.506317
-29211223.812019,16166,161.310295
-30042264.236572,16166,168.03002
-20380185.869628,16166,174.084584
-29071807.750476,16166,182.991932
-21501292.775432,16166,190.694596
-25021392.51113,16166,200.244019
-24150261.396371,16166,209.585131
-28992784.720514,16166,219.141032
-28565940.637391,16166,226.769865
-27075584.444684,16166,232.725896
-26906804.047837,16166,238.69543
-24473616.299088,16166,245.313046
-28963344.589333,16166,254.198492
-28903978.985378,16166,260.194576
-24864211.598843,16166,267.356911
-20102420.907144,16166,278.126608
-21735198.474284,16166,287.752421
-22913851.422432,16166,295.420422
-19615249.431473,16166,305.551793
-25191286.704423,16166,312.028687
-24742420.083113,16166,317.991292
-23123988.724274,16166,324.172482
-19957609.031952,16166,330.789338
-21263662.479242,16166,338.290027
-20823060.18732,16166,344.29268
-27387240.642069,16166,350.574847
-18915108.863637,16166,357.664107
-21838688.127731,16166,363.9076
-23882745.536035,16166,372.691842
-25089183.671629,16166,382.452161
-23120282.999308,16166,388.899569
-21834853.558251,16166,397.577207
-21982893.123624,16166,404.925089
-29147342.358835,16166,410.747468
-24557367.974981,16166,419.622362
-19491178.156966,16166,427.492053
-22106732.935256,16166,433.828542
-27360344.022217,16166,440.21165
-17582637.088658,16166,449.959222
-24814599.022151,16166,455.758072
-25423860.684925,16166,461.507162
-19004638.90306,16166,467.233413
-22948369.466859,16166,474.803025
-17832075.858769,16166,480.558657
-24783710.30806,16166,486.093463
-24750299.716639,16166,491.946121
-22069115.277715,16166,497.753943
-27307559.029524,16166,504.777919
-21145578.008701,16166,511.645215
-24639778.290939,16166,518.716855
-13344800.689878,16166,524.575059
-22908004.236566,16166,530.5195
-20235852.198881,16166,536.405413
-23895899.16847,16166,543.472204
-16752180.818858,16166,549.067574
-25446274.045028,16166,554.985961
-19197646.543251,16166,562.401191
-24005199.287509,16166,568.810384
-22478275.706306,16166,575.203648
-19508603.202565,16166,580.962198
-18877216.562922,16166,588.42703
-23413486.122036,16166,596.460149
-20641144.433581,16166,602.164096
-20264452.5577,16166,607.58605
-17849367.828425,16166,613.307445
-16112491.264849,16166,619.009095
-19926691.703314,16166,624.726938
-18614091.752825,16166,632.75557
-19724860.758634,16166,640.740739
-18302438.869293,16166,649.387225
-20927128.175811,16166,655.797315
-21177830.393656,16166,662.75314
-20703199.280012,16166,668.310945
-21423437.042806,16166,676.561386
-19440816.998905,16166,682.32686
-20454114.015311,16166,688.107129
-16398224.29602,16166,695.026421
-24466466.482062,16166,703.185584
