#{"t_start": 1747638720.6812744, "env_id": "BuildingEnv"}
r,l,t
-10251111071.456318,16166,6.834049
-9569423603.070889,16166,12.956583
-9968786200.607525,16166,20.057764
-10081616817.092964,16166,26.030491
-10031149814.308758,16166,32.999411
-9592384181.950577,16166,38.959871
-10101110513.880255,16166,44.905213
-9619407903.586332,16166,50.973181
-9634479364.916403,16166,56.905636
-9785481072.592043,16166,62.567515
-10331340514.68354,16166,68.527584
-10103111503.737867,16166,75.121026
-9877764621.61623,16166,81.631544
-9559935672.614756,16166,87.540938
-9550452291.049742,16166,93.476793
-9887749261.96077,16166,99.437741
-9775264666.904633,16166,105.323747
-9406318319.658741,16166,111.361804
-9482295094.04688,16166,118.233325
-9986004049.931965,16166,124.138186
-10116818088.215961,16166,130.013952
-9566392177.56543,16166,135.915287
-9734281007.636263,16166,141.853914
-9597427606.443218,16166,147.809706
-10070060886.39956,16166,154.393656
-9540698375.576889,16166,161.458582
-9336138213.493,16166,167.39416
-9117782315.073391,16166,173.31103
-9503341564.031986,16166,179.004001
-9600061756.510374,16166,184.893903
-9195056227.279446,16166,190.792874
-8562656414.570645,16166,196.70883
-9597558363.364277,16166,202.662862
-9203247373.870552,16166,210.23171
-9143208844.58812,16166,216.781641
-9027726701.855213,16166,222.689859
-9204329192.112322,16166,228.610365
-9372920856.59491,16166,234.235694
-8645970397.465853,16166,240.165462
-9180425911.15574,16166,246.683268
-9266764927.002216,16166,252.772403
-9070222655.77356,16166,258.837921
-8985353195.490656,16166,264.848434
-8598644798.48059,16166,271.921083
-8882791805.200174,16166,278.474375
-8991191857.817196,16166,285.024433
-8927165414.344011,16166,291.227531
-8556367991.293881,16166,297.149435
-8879349891.53461,16166,303.317758
-8731164135.597757,16166,310.729937
-8878323189.952991,16166,316.682708
-8697784516.582172,16166,322.628438
-8599953174.116217,16166,328.576748
-8322530637.41107,16166,334.511288
-9026488128.844107,16166,342.294512
-8485127155.333383,16166,352.453766
-8799293038.670502,16166,362.211493
-8437643333.556724,16166,368.852707
-9073126998.808432,16166,376.119855
-8853660075.87621,16166,382.130622
-8098752346.62826,16166,388.24439
-8438139822.445167,16166,394.326978
-8534372382.365312,16166,400.399463
-8409666088.653944,16166,406.962875
-8268408979.024069,16166,413.097603
-8250978389.853054,16166,420.169003
-8391536442.652516,16166,426.281775
-8298271181.039541,16166,433.52552
-7983984292.720194,16166,439.441918
-8143617417.478429,16166,445.409663
-8201038160.665749,16166,451.302215
-8429333594.591134,16166,457.257325
