#{"t_start": 1773867608.2002769, "env_id": "BuildingEnv"}
r,l,t
-278270923.619528,16166,7.773773
-276945778.937669,16166,13.719971
-271968492.116044,16166,19.691783
-277923844.761535,16166,25.596519
-266196485.51848,16166,31.543969
-270167744.594021,16166,37.473438
-273080984.091807,16166,43.399323
-270819535.480771,16166,49.388544
-264123427.039367,16166,55.349081
-259926282.060949,16166,61.32344
-258283893.008914,16166,67.279398
-255965226.302362,16166,73.227731
-259264293.283067,16166,79.201026
-253164571.603722,16166,85.194981
-254916189.931366,16166,91.188438
-254562827.850258,16166,97.259034
-254084971.479179,16166,103.348238
-250044470.087991,16166,109.449419
-252026306.146237,16166,115.500346
-249821825.052153,16166,121.601299
-250368605.52899,16166,127.735627
-250854310.18553,16166,133.882499
-244109232.520181,16166,140.032991
-238013737.46855,16166,146.217804
-240561957.491965,16166,152.382823
-237242082.224353,16166,158.563603
-240401141.891024,16166,164.775003
-239497998.839917,16166,171.022258
-236901020.882581,16166,177.255431
-234970000.976714,16166,183.462954
-226681750.661705,16166,189.670098
-227460511.595068,16166,195.908667
-230366397.042538,16166,202.290627
-229076636.562162,16166,208.50138
-225895803.470284,16166,214.70442
-220104107.57574,16166,220.976725
-219989622.95977,16166,227.271432
-223765624.097984,16166,233.571548
-217481675.580953,16166,239.876446
-216595620.98048,16166,246.247529
-215905720.800123,16166,252.540465
-214193837.307031,16166,258.800935
-213489220.505376,16166,265.10411
-210500341.581491,16166,271.391673
-209509289.087063,16166,277.692878
-207864601.121557,16166,284.035523
-204399501.482874,16166,290.336057
-204369909.468682,16166,296.694489
-204849997.268098,16166,303.09635
-205932247.52078,16166,309.455128
-202178640.110632,16166,315.888248
-202694075.136032,16166,322.339988
-195944837.885237,16166,328.822181
-197009691.199279,16166,335.28578
-197246438.824534,16166,341.767574
-199119261.570277,16166,348.225823
-192201053.64405,16166,354.688486
-187465190.465039,16166,361.16988
-190194982.642977,16166,367.704325
-189627125.193823,16166,374.221347
-188738330.865701,16166,380.786044
-190119281.549444,16166,387.382715
-186133442.826272,16166,393.880131
-181816031.060513,16166,400.442782
-178568360.526749,16166,406.994082
-190863399.539418,16166,413.561034
-173676936.229354,16166,420.142838
-172158035.612732,16166,426.728532
-177770667.587343,16166,433.312542
-178122672.722682,16166,439.874292
-176381275.512471,16166,446.488848
-168919487.703859,16166,453.075594
-167491098.447806,16166,459.659662
-170270008.069625,16166,466.286165
-162708349.675513,16166,472.896983
-167304533.708867,16166,479.476735
-171128032.966112,16166,486.102851
-162707228.835805,16166,492.751736
-163722117.434927,16166,499.342773
-160850201.311393,16166,506.000456
-159665893.362513,16166,512.672992
-155361877.544883,16166,519.318316
-158683923.353678,16166,526.015956
-155995523.783081,16166,532.72609
-151083967.524775,16166,539.438382
-145436301.090474,16166,546.17655
-149028692.913565,16166,552.942512
-147042136.663744,16166,559.712513
-141928822.791008,16166,566.488181
-145903548.633917,16166,573.233752
-145555768.653584,16166,580.00418
-141484834.390397,16166,586.76271
-138145877.510795,16166,593.502834
-140337814.234777,16166,600.26685
-140935757.656563,16166,607.035384
-140800594.0265,16166,613.784494
-136576434.218952,16166,620.563567
-132045351.738896,16166,627.371533
-138462952.847692,16166,634.187008
-127410792.158555,16166,641.017375
-130213183.089402,16166,647.86766
-130673048.266308,16166,654.657374
-130036675.782732,16166,661.470327
-129018566.570496,16166,668.281406
-122506630.938699,16166,675.104746
-119098731.389022,16166,681.949536
-122149553.71282,16166,688.799916
-122410514.015739,16166,695.628052
-120063539.853821,16166,702.502127
-110609545.00814,16166,709.365543
-112022690.928788,16166,716.242087
-113894134.745141,16166,723.137406
-111353859.997715,16166,730.0469
-114363618.391515,16166,736.982628
-107672423.213065,16166,743.937457
-109719040.523859,16166,750.865253
-105372327.616441,16166,757.82141
-109587538.360563,16166,764.785679
-103371840.987723,16166,771.755568
-110369369.878531,16166,778.732324
-101878577.361252,16166,785.703526
-103197965.257276,16166,792.671268
-99503561.775555,16166,799.659251
-94883605.627865,16166,806.677235
-97871142.446357,16166,813.688942
-88348712.442711,16166,820.725427
-95354240.697458,16166,827.775566
-93293166.430646,16166,834.807036
-92193896.656232,16166,841.841687
-87525282.994063,16166,848.911883
-88435808.648728,16166,855.971958
-84640513.123952,16166,863.046695
-88886465.310635,16166,870.114851
-82474791.808498,16166,877.169073
-79610708.761655,16166,884.221478
-82586285.719846,16166,891.238251
-77779625.796345,16166,898.220411
-76114815.733578,16166,905.179449
-74227051.336046,16166,912.169882
-79057667.045876,16166,919.097681
-72055573.809752,16166,926.071976
-68640145.888778,16166,933.04523
-69031732.470109,16166,940.049335
-71871564.6893,16166,946.961512
-69763868.334808,16166,953.85563
-69263979.578941,16166,960.760026
-66618053.959477,16166,967.685676
-66232502.466435,16166,974.71851
-61201931.710119,16166,981.749985
-64201542.9739,16166,988.788411
-62585280.618631,16166,995.805718
-56478667.273518,16166,1002.884424
-57233173.469766,16166,1009.902198
-61295109.394771,16166,1016.87372
-59267679.241166,16166,1023.831832
-58086046.170046,16166,1030.79557
-55088700.585123,16166,1037.809677
-54359640.418225,16166,1044.804815
-52371426.361789,16166,1051.817762
-49462482.863609,16166,1058.870813
-46594365.089463,16166,1065.89453
-46656712.661579,16166,1072.948543
-50106990.197085,16166,1079.954229
-46515103.974586,16166,1086.955148
-46480154.221577,16166,1094.013442
-45047083.376424,16166,1101.093448
-42347893.43123,16166,1108.200281
-39544688.519441,16166,1115.32711
-42188369.541591,16166,1122.438978
-43408944.225465,16166,1129.510439
-35743595.07396,16166,1136.597165
-39918077.678668,16166,1143.689701
-37410769.267733,16166,1150.774808
-37542277.59637,16166,1157.899739
-33232053.258953,16166,1165.039362
-36671013.350639,16166,1172.232758
-37879290.024202,16166,1179.439061
-34210982.664268,16166,1186.608791
-33551116.611771,16166,1193.822919
-34514611.05627,16166,1200.978255
-39821874.800134,16166,1208.126033
-30606282.745619,16166,1215.330187
-33307702.56832,16166,1222.509733
-39238948.006646,16166,1229.710588
-32638682.505703,16166,1236.92339
-46571289.468022,16166,1244.133496
-33959019.872309,16166,1251.391703
-36109854.288023,16166,1258.598204
-39108242.210086,16166,1265.82421
-35678321.652399,16166,1273.082271
-33774768.408561,16166,1280.333296
-44613259.132813,16166,1287.592599
-30167963.786688,16166,1294.847791
-50290481.750933,16166,1302.134303
-27845664.639827,16166,1309.345656
-106016182.307631,16166,1316.640822
-57971641.652487,16166,1323.936945
-26220310.585747,16166,1331.223948
-36183867.332035,16166,1338.735139
-41170075.139557,16166,1346.071341
-23410781.704588,16166,1353.399391
-25090706.892496,16166,1360.718073
-38171482.050923,16166,1368.037245
-32751098.200444,16166,1375.347376
-24628267.904707,16166,1382.693479
-18206100.076273,16166,1389.986057
-23524665.141237,16166,1397.366065
-22775318.060567,16166,1404.713984
-30608702.572453,16166,1412.100014
-20924664.858641,16166,1419.461199
-29301616.998427,16166,1426.855063
-21528784.419483,16166,1434.240818
-26024043.021456,16166,1441.608292
-31071500.434874,16166,1448.994541
-28387178.29979,16166,1456.381146
-23370791.621013,16166,1463.783702
-27732489.572128,16166,1471.197454
-26665840.420322,16166,1478.595826
-28001547.721551,16166,1486.013138
-25176380.046361,16166,1493.44053
-25690463.858165,16166,1500.846446
-27765406.223326,16166,1508.282698
-27860653.810672,16166,1515.721595
-26839620.98141,16166,1523.153363
