#{"t_start": 1747213360.9582093, "env_id": "BuildingEnv"}
r,l,t
-339532.041502,16166,5.554198
-168989.220368,16166,12.358242
-162970.007651,16166,19.125712
-142108.636814,16166,25.448573
-363799.681605,16166,31.162533
-165805.266576,16166,36.275272
-147224.257117,16166,41.381512
-206899.499364,16166,46.468973
-224900.790089,16166,52.597151
-166402.192385,16166,57.973777
-201324.582199,16166,66.297486
-106649.763275,16166,72.033929
-230037.419979,16166,77.245736
-235357.493511,16166,82.491745
-194251.447469,16166,87.766566
-100978.623634,16166,93.672611
-320889.201956,16166,98.953742
-171269.094356,16166,104.883153
-115505.224475,16166,109.948951
-100403.472106,16166,115.336005
-251189.000284,16166,121.209828
-156570.001296,16166,127.573839
-190387.285275,16166,133.341335
-176180.553479,16166,140.921084
-182709.153704,16166,146.675035
-147694.954413,16166,152.48742
-177994.195961,16166,158.390996
-141618.823516,16166,164.235887
-103146.535968,16166,169.800489
-139734.668408,16166,176.516094
-230795.160494,16166,182.598102
-190895.364525,16166,188.042493
-127651.919594,16166,195.098398
-235196.878135,16166,200.975248
-254501.62292,16166,206.258597
-234419.380069,16166,211.539688
-113057.380305,16166,216.914034
-148428.704071,16166,224.970732
-171111.779745,16166,232.887815
-109712.484964,16166,240.66009
-236109.013412,16166,247.354368
-160595.035207,16166,253.159238
-213344.753113,16166,258.924621
-230421.16518,16166,264.133004
-151761.862614,16166,269.27336
-149188.117153,16166,274.412701
-130695.148352,16166,279.888991
-98853.95789,16166,285.021446
-150925.090608,16166,290.18742
-224654.814695,16166,295.320406
-171032.564264,16166,301.082347
-230845.646707,16166,308.132416
-188405.525795,16166,313.334879
-241154.278567,16166,319.777461
-198045.035832,16166,325.005589
-139902.311745,16166,330.314281
-156880.608327,16166,335.960749
-168229.784443,16166,341.358161
-134017.271691,16166,347.298535
-205021.197308,16166,353.810372
-216234.719584,16166,359.049176
-264562.167259,16166,366.618883
-203041.582735,16166,372.536866
-107800.587147,16166,380.881302
-203974.111674,16166,389.726486
-150324.098857,16166,396.440988
