#{"t_start": 1773867853.2041373, "env_id": "BuildingEnv"}
r,l,t
-97899072.292987,16166,10.243754
-78379206.174674,16166,19.340919
-70660827.669759,16166,28.356299
-74063709.505748,16166,37.497591
-59192336.518011,16166,46.589356
-30666571.214789,16166,55.681228
-27077178.905796,16166,64.698525
-31632572.072982,16166,73.712791
-32998265.718108,16166,82.673034
-31224183.383799,16166,91.19555
-26754596.370482,16166,100.182307
-24167254.605088,16166,109.167224
-24852499.858267,16166,118.126527
-26076629.670364,16166,127.09507
-30319030.785578,16166,136.245661
-27914787.669945,16166,145.681113
-26232274.295271,16166,154.710485
-23124586.578461,16166,163.683827
-23377418.814008,16166,172.27125
-21074278.426316,16166,181.287447
-18738378.436739,16166,190.307164
-29193591.323326,16166,199.300467
-25285655.469438,16166,208.274347
-31369796.380642,16166,217.279034
-22807300.749017,16166,226.294817
-28365568.353001,16166,235.493429
-20713247.041506,16166,244.491509
-23705570.034097,16166,253.506916
-23188436.408113,16166,262.036091
-24395848.835816,16166,271.050792
-26727703.383039,16166,280.038322
-27604497.938715,16166,289.102412
-24908131.271105,16166,298.114073
-20384708.342407,16166,307.461739
-23126919.139977,16166,316.675972
-22667046.95884,16166,325.749793
-18672727.916314,16166,334.740425
-22349793.478218,16166,343.3431
-24488746.226557,16166,352.342751
-27198800.182549,16166,361.434654
-30674151.157475,16166,370.416421
-26231157.062635,16166,379.386457
-26153738.06477,16166,388.354296
-25338626.852499,16166,397.3964
-23891452.890758,16166,406.386484
-21622500.025891,16166,415.358112
-20619825.570586,16166,423.96706
-21318113.465971,16166,432.979004
-23073577.481769,16166,442.043015
-27900168.858119,16166,451.117995
-21872567.457465,16166,460.103256
-16439014.82309,16166,469.086087
-20464123.164924,16166,478.084879
-19234792.888113,16166,487.174064
-19604064.131997,16166,496.312619
-20342504.99226,16166,505.28097
-19065416.434647,16166,513.759461
-22726804.243227,16166,522.839617
-24699844.073673,16166,532.029718
-20350410.20372,16166,541.029878
-19676978.948043,16166,549.991113
-23022917.152485,16166,558.985483
-18697976.202424,16166,568.169316
-20039789.286074,16166,577.463275
-16254962.081593,16166,586.558535
-20144625.818193,16166,595.133184
-16209055.761683,16166,604.168081
-20917193.389261,16166,613.288111
-21387242.637155,16166,622.353499
-21119145.791374,16166,631.353907
-21729295.723996,16166,640.362437
-28370471.551213,16166,649.379371
-26826552.094068,16166,658.397163
-19693706.007652,16166,667.396806
-20920677.297814,16166,676.383432
-16354680.398312,16166,684.894632
-18977647.442763,16166,693.873146
-17010613.520485,16166,702.866597
-22695018.336603,16166,711.856376
-17882702.428172,16166,720.812419
-19600776.454486,16166,729.79122
-18859813.597633,16166,738.755267
-20997035.536336,16166,747.735312
-21029847.9024,16166,756.705603
-17655708.399659,16166,765.224997
-18682277.241431,16166,774.190763
-25122525.961087,16166,783.181597
-22974018.483503,16166,792.174465
-26088788.136732,16166,801.183003
-16474783.944604,16166,810.203954
-14962230.607012,16166,819.269648
-17738423.795618,16166,828.313089
-21725341.953296,16166,837.315286
-19030768.161635,16166,845.85353
-18523346.48594,16166,854.827705
-25063336.910913,16166,863.813868
-22173940.240429,16166,872.792977
-19707151.47293,16166,881.785493
-15658636.618425,16166,890.764054
-17134397.549006,16166,899.729353
-20374955.219393,16166,908.722893
-23055892.607842,16166,917.718648
-20698232.046754,16166,926.719273
-20155549.070135,16166,935.347194
-17391892.115436,16166,944.384793
-23682533.955571,16166,953.427815
-18727857.677833,16166,962.431423
-23158505.252144,16166,971.485209
-21082938.383517,16166,980.504351
-19650663.027233,16166,989.522009
-23355344.895707,16166,998.558707
-19328758.455492,16166,1007.573416
-23841309.802333,16166,1016.162503
-20128157.503618,16166,1025.193433
-18228495.740338,16166,1034.218019
-27803605.149126,16166,1043.223584
-21020899.659274,16166,1052.242633
-23121420.135642,16166,1061.25803
-21536449.051463,16166,1070.291926
-21566420.568728,16166,1079.31767
-22957754.187601,16166,1088.335535
-17738684.987216,16166,1097.550869
-15793444.994753,16166,1106.100367
-23048073.427738,16166,1115.110847
-18541670.053987,16166,1124.110501
-26671152.095692,16166,1133.118497
-21907502.269106,16166,1142.142335
-22034105.888445,16166,1151.180552
-20513647.868411,16166,1160.204161
-19203413.155533,16166,1169.210085
-20758004.608809,16166,1178.204747
-16585464.659326,16166,1186.748422
-17976938.855192,16166,1195.763168
-19703660.150065,16166,1204.786258
-18145426.273506,16166,1213.816821
-19205638.066889,16166,1222.838941
-17897550.888777,16166,1231.894489
-20629434.607986,16166,1240.919896
-18405695.828054,16166,1249.935912
-18634843.480603,16166,1258.955426
-15123296.452991,16166,1267.501814
-17257260.812149,16166,1276.495447
-20124905.571709,16166,1285.515945
-18964050.183182,16166,1294.527325
-17126796.183406,16166,1303.553708
-22724668.389141,16166,1312.566582
-20845496.169316,16166,1321.582211
-21603634.542542,16166,1330.607409
-22068488.999965,16166,1339.624997
-21360256.54818,16166,1348.654678
-24294010.791069,16166,1357.215471
-20915076.739513,16166,1366.226591
-21021236.414799,16166,1375.280313
-26064624.543146,16166,1384.314163
-27377871.322303,16166,1393.372727
-24392199.988553,16166,1402.413929
-22738456.57255,16166,1411.461191
-24871914.954644,16166,1420.483324
-26161132.053285,16166,1429.524532
-18449350.190745,16166,1438.12284
-26306255.744465,16166,1447.272681
-20280667.71709,16166,1456.55367
-24301697.813548,16166,1465.77636
-22956308.758965,16166,1474.958749
-29808308.113456,16166,1484.132603
-23710212.573604,16166,1493.266953
-21278145.050962,16166,1502.380889
-22360207.798339,16166,1511.487303
-20217881.693232,16166,1520.602077
-20738279.412938,16166,1529.240221
-24696538.025501,16166,1538.349084
-20267664.89938,16166,1547.44641
-24846228.468655,16166,1556.579257
-20879648.736419,16166,1565.713034
-26148022.094604,16166,1574.836432
-17963376.122246,16166,1583.93803
-20149085.879904,16166,1593.051748
-22103432.003258,16166,1602.168031
-22249039.51802,16166,1610.811091
-14593613.770041,16166,1619.952119
-26094164.480809,16166,1629.15401
-46115901.700825,16166,1638.356642
-57229476.371247,16166,1647.5014
-53618842.693257,16166,1656.631283
-39376698.512824,16166,1665.810502
-24035927.630892,16166,1674.938012
-19806553.436898,16166,1684.18699
-16302143.915684,16166,1692.919245
-23494653.440386,16166,1702.014085
-16608566.925814,16166,1711.153406
-24491501.166049,16166,1720.264568
-20600364.067677,16166,1729.379788
-20795535.299032,16166,1738.510293
-23164036.384947,16166,1747.647797
-16744435.030684,16166,1756.849388
-23305527.637831,16166,1765.966796
-21452227.91645,16166,1775.114854
-20325817.266853,16166,1783.766773
-18091743.772397,16166,1792.905537
-19650866.456296,16166,1802.051006
-22230906.523489,16166,1811.201729
-23400306.754723,16166,1820.336072
-25287973.072595,16166,1829.486084
-25798487.27774,16166,1838.630969
-25310710.623187,16166,1847.787683
-23732106.346472,16166,1856.933145
-31320252.559616,16166,1865.641856
-27640646.616305,16166,1874.776533
-23791565.251677,16166,1883.973211
-32112200.599875,16166,1893.12264
-20642370.560629,16166,1902.291215
-18221128.918974,16166,1911.445844
-21928189.283667,16166,1920.643935
-24952816.052818,16166,1929.82434
-26795197.593608,16166,1938.996578
-19835045.120817,16166,1948.138769
-23270248.843027,16166,1956.828379
-24178748.009552,16166,1965.960574
-20155066.970131,16166,1975.105897
-29456185.659481,16166,1984.250958
-22352962.061864,16166,1993.494063
-20968663.363049,16166,2002.687721
-23197097.530117,16166,2011.873198
-19627346.595805,16166,2021.076937
-22662985.572388,16166,2030.243805
-17896455.775073,16166,2038.966653
-20199013.745881,16166,2048.146815
-20612229.962239,16166,2057.332939
-21790963.254624,16166,2066.500424
-17660483.612994,16166,2075.661898
-51634452.643033,16166,2084.859869
-44630228.538247,16166,2094.021637
-38729075.506245,16166,2103.206657
-20836142.827746,16166,2112.554896
-17103007.653403,16166,2121.28151
-21184879.245042,16166,2130.484802
-18862121.997607,16166,2139.660641
-16691447.154562,16166,2148.809065
-23235186.475426,16166,2157.990685
-19333996.4361,16166,2167.185269
-39137618.646087,16166,2176.36365
-28011135.127541,16166,2185.575188
-20255449.865104,16166,2194.803352
-20923065.180533,16166,2204.01321
-21665667.979228,16166,2212.733011
-20244743.337021,16166,2221.976501
-20565331.767012,16166,2231.157365
-28302430.282571,16166,2240.343935
-19758660.197443,16166,2249.538516
-27622481.718115,16166,2258.717064
-18870163.254434,16166,2267.910007
-23887794.23947,16166,2277.088071
-22671929.553188,16166,2286.29521
-22490024.850209,16166,2294.984001
-36493793.81122,16166,2304.102537
-26343636.842621,16166,2313.196732
-17811393.677062,16166,2322.390144
-27275266.47368,16166,2331.528335
-27410643.130147,16166,2340.668103
-19581824.03385,16166,2349.749656
-26371372.150431,16166,2358.879611
-23862379.557455,16166,2368.017958
-21463401.84739,16166,2377.133808
-15612821.99691,16166,2385.773836
-21276130.98059,16166,2394.883099
-28709189.370449,16166,2404.022078
-23692946.006769,16166,2413.114749
-19962148.779018,16166,2422.240522
-21055514.559593,16166,2431.3404
-25032609.053137,16166,2440.511311
-23979956.890323,16166,2449.648056
-18786555.459823,16166,2458.83408
-21576333.674672,16166,2467.48941
-17115532.122135,16166,2476.631322
-49019442.911356,16166,2485.819725
-54857282.932379,16166,2495.054714
-40340652.386054,16166,2504.340434
-32374090.23128,16166,2513.579107
-20502299.855393,16166,2522.774256
-19192554.528936,16166,2531.974523
-23072259.768544,16166,2541.117535
-22247553.68627,16166,2549.781718
-20602363.038461,16166,2558.99672
-23544591.989217,16166,2568.171916
-19003908.463146,16166,2577.30604
-22808709.35715,16166,2586.45493
-22356951.464782,16166,2595.605387
-23636416.540711,16166,2604.749768
-21782010.629984,16166,2613.879712
-21766259.679848,16166,2623.069743
-25234579.331452,16166,2632.205388
-21706953.890769,16166,2640.915589
-25397249.63295,16166,2650.095312
-22100160.219596,16166,2659.314087
-18189160.912659,16166,2668.545382
-19030863.034932,16166,2677.766577
-26286231.291403,16166,2687.010576
-124982947.778683,16166,2696.34584
-117659776.799027,16166,2705.60974
-122450094.056288,16166,2714.865095
-103622588.753894,16166,2723.648883
-86969144.168544,16166,2732.890354
-47958251.766685,16166,2742.104199
-38753303.867245,16166,2751.31195
-22625814.485987,16166,2760.500015
-22297168.248707,16166,2769.760545
-15879930.13876,16166,2778.96951
-27736886.073266,16166,2788.238277
-17601103.763804,16166,2797.435524
-23495639.446198,16166,2806.638162
-23384162.209575,16166,2815.362271
-25726653.707209,16166,2824.572452
-22541192.817971,16166,2833.794065
-23129355.559297,16166,2843.00118
-25219327.17301,16166,2852.22253
-20964000.029318,16166,2861.413958
-19349105.025124,16166,2870.629159
-20483804.336795,16166,2879.782031
-20390057.150508,16166,2888.950738
-23154436.548128,16166,2897.659421
-19335339.356229,16166,2906.848919
-20411024.547862,16166,2916.020092
-22521957.95251,16166,2925.307888
-24863233.501496,16166,2934.563041
-35470408.312166,16166,2943.755493
-84309577.286141,16166,2952.986302
-82982689.771971,16166,2962.157477
-78279418.103944,16166,2971.30293
-71611987.868242,16166,2980.00594
-65785064.020672,16166,2989.154043
-51664657.432117,16166,2998.285135
-23708641.748607,16166,3007.51034
-22284447.390143,16166,3016.662446
-21456730.555702,16166,3025.816821
-18431414.345658,16166,3034.924968
-25824124.271221,16166,3044.04203
-22885905.182424,16166,3053.188436
-21639410.974384,16166,3062.319408
-20317050.707868,16166,3070.992975
-21684133.502163,16166,3080.108342
-19719632.702563,16166,3089.214175
-16989901.439118,16166,3098.346382
-28836600.268694,16166,3107.494061
-59225374.376788,16166,3116.649473
-49446153.706648,16166,3125.790347
-30216866.009012,16166,3134.902939
-23520086.821426,16166,3144.009053
-16930011.733554,16166,3152.723811
-20951603.444251,16166,3161.97215
-36852595.513114,16166,3171.276879
-40328179.752044,16166,3180.515283
-35146872.915559,16166,3189.772032
-30774123.563504,16166,3199.050854
-35154243.157408,16166,3208.337409
-33028113.240883,16166,3217.650913
-26849327.505646,16166,3226.938211
-25370088.068827,16166,3235.726275
-23732539.943656,16166,3245.01924
-26104610.364663,16166,3254.33482
-27045875.27807,16166,3263.608525
-29574697.797936,16166,3272.879821
-21262377.278443,16166,3282.143812
-27385206.147339,16166,3291.447735
-22201700.972974,16166,3300.711848
-27585716.914598,16166,3309.982274
-30191001.808973,16166,3319.255899
-29453966.924533,16166,3328.047568
