#{"t_start": 1747524288.9122398, "env_id": "BuildingEnv"}
r,l,t
-97209856.26047,16166,6.472744
-67480161.519161,16166,14.202797
-68195626.850263,16166,23.470931
-39364584.316129,16166,31.188012
-32533876.066215,16166,39.93133
-29728593.254004,16166,46.590842
-22885559.417998,16166,54.260427
-20678577.245564,16166,60.844258
-33003345.185761,16166,68.5405
-25079652.024282,16166,75.353203
-25066760.643301,16166,84.17089
-25476139.709079,16166,92.853253
-30575319.423725,16166,99.489347
-26102020.71657,16166,108.283305
-31407295.811433,16166,115.479962
-24092340.577811,16166,123.178529
-27803201.13029,16166,131.433075
-23175330.658285,16166,139.115246
-23337150.622491,16166,147.004481
-23227373.141686,16166,154.167566
-23352163.056311,16166,160.364046
-22716700.76186,16166,169.714129
-20058054.113857,16166,179.712578
-29672703.547932,16166,187.429397
-32303463.361572,16166,194.131824
-29891996.570033,16166,202.39736
-24240028.073045,16166,209.550971
-22851634.258209,16166,217.255017
-19260010.389862,16166,223.607392
-26414500.163874,16166,229.757818
-21499297.890628,16166,236.369262
-19215315.052448,16166,244.103993
-22212217.136706,16166,251.277113
-25597595.457744,16166,257.849423
-21235350.708998,16166,264.482484
-20639418.019787,16166,271.198121
-22288963.286488,16166,280.732421
-25228581.705536,16166,288.757221
-22829205.9078,16166,295.392985
-21442527.912879,16166,302.553178
-22114711.201786,16166,308.600743
-22659744.671525,16166,315.804793
-27181966.205151,16166,324.104857
-25000581.383135,16166,332.905349
-21845552.646656,16166,339.662301
-23392748.502667,16166,345.801889
-23234793.707672,16166,352.140248
-16211349.914324,16166,358.298134
-21341071.590854,16166,367.733684
-20276487.915273,16166,376.66823
-25316105.267999,16166,383.896134
-19773874.592397,16166,393.276789
-21854361.556897,16166,401.531167
-20440389.569591,16166,410.480283
-21717146.184154,16166,417.133171
-19918183.523155,16166,426.034391
-19328813.7487,16166,433.475581
-17583550.909861,16166,440.623547
-19166204.750543,16166,448.954711
-19690473.830757,16166,457.37099
-16680440.091729,16166,464.078207
-21856932.432152,16166,471.934633
-20991173.093135,16166,478.012363
-17978685.591757,16166,485.235961
-21629954.126601,16166,493.651515
-24930606.055399,16166,502.22328
-19153805.315247,16166,509.561609
-22546086.095366,16166,518.979023
-20172265.157401,16166,526.187778
-17739215.395306,16166,533.646134
-22351364.229229,16166,542.609349
-21103587.240785,16166,550.473712
-18807415.691773,16166,556.606417
-21305476.297977,16166,563.884098
-28203619.429613,16166,570.030719
-27398238.99334,16166,576.951632
-20522579.821878,16166,587.005999
-19151071.829542,16166,594.363731
-24230866.74381,16166,601.629305
-22063766.95926,16166,608.899839
-21848432.303754,16166,615.070688
-22395142.583357,16166,621.273511
-17604689.038055,16166,630.81209
-18674279.847037,16166,637.499141
-20583771.102084,16166,644.499837
-21786198.474894,16166,652.912903
-26224958.149036,16166,661.425717
-23149163.211284,16166,668.167492
-17720335.017855,16166,676.772093
-19540101.069104,16166,686.51335
-22472054.584241,16166,694.920954
-22686740.965283,16166,702.16174
-20133572.597406,16166,708.370105
-19024635.385464,16166,715.941268
-18157674.919921,16166,725.058704
-19139785.288445,16166,732.844689
-19405704.896443,16166,738.941681
-19882820.393036,16166,746.778245
-21140318.73241,16166,753.475957
-21281821.742042,16166,760.762898
-17769742.729089,16166,767.994389
-20500103.519403,16166,776.467167
-19586773.779843,16166,783.141257
-19881955.534465,16166,790.726317
-23513189.368198,16166,799.310195
-21978312.19675,16166,808.394772
-22568006.899256,16166,815.626773
-20138083.825492,16166,821.62141
-19304867.563858,16166,827.650547
-19767989.214193,16166,833.638537
-23387004.714602,16166,839.691753
-17121213.316472,16166,848.132584
-21251097.649531,16166,854.375806
-20169501.120312,16166,863.792759
-20654202.604376,16166,869.817663
-17006272.395436,16166,878.253875
-21250137.830372,16166,886.122179
-16821749.981519,16166,894.463025
-21285749.147968,16166,903.421141
-17800029.809629,16166,912.557565
-20358481.127554,16166,920.221963
-18279302.582341,16166,929.262235
-11273983.871382,16166,934.99828
-75423617.513345,16166,941.804323
-68439380.473528,16166,948.599731
-53071730.409765,16166,955.353474
-34730083.405034,16166,961.427024
-21807544.214146,16166,967.511351
-25190183.956708,16166,974.164076
-26608421.371616,16166,981.502134
-25171461.316937,16166,987.561851
-22532983.525421,16166,993.392915
-19533434.3493,16166,1000.101443
-22083565.89699,16166,1006.277455
-25925284.485538,16166,1013.02999
-30106503.558524,16166,1019.295989
-24675771.950431,16166,1025.920122
-29593518.116401,16166,1033.300872
-22987826.124779,16166,1039.41373
-27240078.864902,16166,1047.282367
-23063567.994294,16166,1053.073913
-25271230.20206,16166,1060.437461
-26651691.384328,16166,1070.170625
-22656077.647599,16166,1078.744233
-22131945.147435,16166,1085.976888
-19758334.941289,16166,1093.805613
-20634642.399408,16166,1100.485259
-20440149.412556,16166,1106.615623
-14720766.568534,16166,1112.767701
-23755643.26925,16166,1121.272958
-26625962.651855,16166,1128.229711
-19399897.907048,16166,1134.814104
-18196564.277197,16166,1140.876096
-21642269.677317,16166,1147.557293
-23585016.21874,16166,1154.858204
-18355299.119817,16166,1162.716787
-20030928.052679,16166,1169.929375
-21182466.838552,16166,1175.973311
-23720048.434484,16166,1182.039385
-22990014.113509,16166,1189.468902
-20209066.135432,16166,1195.468369
-19320051.518214,16166,1201.485157
-19012850.253878,16166,1208.117134
-20733814.495474,16166,1215.368294
-23122218.085125,16166,1222.049964
-23562828.298741,16166,1228.711304
-22380805.637893,16166,1236.575135
-18890275.052137,16166,1242.621834
-18416451.131429,16166,1249.370642
-18175611.448567,16166,1256.365433
-22771078.205058,16166,1262.501815
-18644327.194183,16166,1269.808498
-24801419.648392,16166,1277.669688
-21713418.267943,16166,1284.996186
-19850243.036218,16166,1291.103381
-20789357.67344,16166,1297.124426
-19089088.247779,16166,1304.440365
-15494021.467814,16166,1310.51256
-17409872.002975,16166,1316.264675
-21856105.890763,16166,1322.993329
-17361668.442731,16166,1329.761222
-20371973.772748,16166,1335.880071
-19487382.972057,16166,1343.814624
-18205764.094361,16166,1350.011473
-23084957.471308,16166,1356.175971
-23994730.145449,16166,1364.205495
-23956269.168746,16166,1372.776899
-23932351.938995,16166,1381.578767
-19768585.25206,16166,1390.089304
-17503082.285657,16166,1398.011844
-17344877.797672,16166,1404.18597
-18269007.353916,16166,1410.986418
-31152511.312843,16166,1419.551144
-23851815.280578,16166,1428.119184
-20005177.727236,16166,1435.399729
-23184287.625141,16166,1444.067779
-24120548.587707,16166,1450.274509
-23902184.811716,16166,1458.017464
-21260587.364206,16166,1464.723515
-21675780.763451,16166,1470.749649
-21369312.33675,16166,1477.507384
-20904954.767577,16166,1484.912128
-21406757.336629,16166,1491.103908
-23938595.305444,16166,1497.799709
-23089042.482886,16166,1505.062778
-21522617.349336,16166,1511.163426
-21047890.675044,16166,1517.029331
-26360057.315003,16166,1525.016346
-27247058.40556,16166,1531.095106
-21917990.48013,16166,1540.892879
-21072726.900523,16166,1548.2811
-22495125.896356,16166,1555.619755
-25409332.573231,16166,1562.302846
-24543274.527005,16166,1568.366139
-25417790.938905,16166,1575.715629
-21080940.918369,16166,1581.821739
-22405547.564338,16166,1588.219843
-21484180.208488,16166,1595.666005
-22834543.431405,16166,1601.865097
-21865207.157248,16166,1609.190343
-23976360.067643,16166,1615.333324
-25057790.149156,16166,1622.75279
-24435982.26482,16166,1628.901955
-25333881.020894,16166,1635.599832
-19231888.845349,16166,1641.661291
-23147233.718634,16166,1647.380893
-20004820.369893,16166,1655.18073
-18922722.164759,16166,1663.167843
-18129162.184385,16166,1670.519646
-22308256.786547,16166,1676.66098
-20779203.868816,16166,1685.787668
-21609176.428431,16166,1694.35129
-19694641.187378,16166,1701.672918
-20522262.191617,16166,1708.404683
-27077344.527041,16166,1716.203958
-22000742.736845,16166,1722.954286
-24751188.89989,16166,1729.818502
-28195273.752979,16166,1736.109845
-24739116.590653,16166,1743.490894
-21902744.858553,16166,1750.878312
-23868536.863658,16166,1759.629883
-26741049.353094,16166,1768.29632
-27685287.775051,16166,1775.848369
-14273534.893574,16166,1785.93144
-58577539.53122,16166,1793.126268
-59798695.632494,16166,1799.372086
-59815005.729511,16166,1805.618052
-42194846.098162,16166,1811.813917
-21897228.330998,16166,1818.092179
-18640157.642366,16166,1824.294376
-19475314.908658,16166,1830.504992
-20257434.024249,16166,1837.438947
-19125338.520123,16166,1844.502144
-22897903.751073,16166,1851.853515
-20440440.003113,16166,1858.814883
-20297472.025944,16166,1866.402566
-22531984.477565,16166,1872.702021
-14743254.629461,16166,1879.62084
-19249036.902238,16166,1887.81422
-19838666.120037,16166,1897.273817
-25237739.466391,16166,1904.69018
-22373426.91338,16166,1910.834062
-13942634.111457,16166,1918.900417
-18616043.258171,16166,1925.411311
-20153173.348808,16166,1932.853018
-29300450.281551,16166,1939.627783
-26494950.467904,16166,1947.122994
-29552953.879981,16166,1955.83646
-30211785.496329,16166,1964.589294
-28600409.045315,16166,1971.940327
-15304552.923333,16166,1978.051341
-20206574.597485,16166,1984.791538
-17942309.58207,16166,1991.867409
-25762551.949721,16166,1998.673119
-79152220.202107,16166,2004.702923
-72871734.632618,16166,2010.81915
-73666475.011269,16166,2016.928259
-47272099.237725,16166,2022.973988
-30454977.353337,16166,2029.088332
-22647847.257034,16166,2035.800617
-21387020.029958,16166,2042.026273
-20551176.469295,16166,2048.044546
-16516998.180622,16166,2054.253373
-20293688.181937,16166,2060.41638
-68212057.331557,16166,2066.576081
-58022426.802035,16166,2072.801583
-37077064.526854,16166,2079.56695
-23500118.479569,16166,2085.702889
-25952723.165183,16166,2091.922247
-30171721.59118,16166,2100.091217
-19528452.261364,16166,2107.684449
-28150670.075939,16166,2113.719494
-28068636.211456,16166,2121.370667
-32898744.59362,16166,2128.088127
-29126620.130155,16166,2135.224509
-29448660.643122,16166,2142.902046
-24210180.40317,16166,2150.450293
-27972530.685588,16166,2158.043119
-28478213.82792,16166,2164.851993
-24439669.181064,16166,2173.731491
-21926267.958218,16166,2179.646681
-28086758.329487,16166,2185.904572
-70640663.287757,16166,2192.161155
-97336196.524474,16166,2198.411983
-82149685.399696,16166,2207.223495
-67323302.255806,16166,2215.333072
-37195375.029248,16166,2224.002558
-21354678.856158,16166,2233.395416
-23540727.397734,16166,2240.097392
-22894025.270782,16166,2246.773636
-28405358.963447,16166,2253.114262
-21144258.898835,16166,2261.113442
-43470537.976441,16166,2269.791656
-81010304.31247,16166,2277.410233
-78383732.786906,16166,2283.906305
-73016308.345247,16166,2290.382417
-56367209.803017,16166,2296.275393
-33938672.747622,16166,2302.509615
-28024803.933654,16166,2308.465768
-25422715.872231,16166,2314.688326
-28679083.990244,16166,2321.794027
-35740650.746489,16166,2327.802374
-28360521.86844,16166,2334.361362
-26173941.977467,16166,2340.178207
-24562150.455693,16166,2345.94253
-23356455.345689,16166,2352.412742
-30720310.420739,16166,2360.7904
-29226764.532298,16166,2369.217965
-33415415.947097,16166,2375.439058
-23599908.046157,16166,2384.549002
-21278317.347254,16166,2391.102515
-26349489.90682,16166,2400.804505
-27151027.784537,16166,2408.100525
-23320540.804712,16166,2415.904259
-22120905.56659,16166,2423.851812
-22823496.113259,16166,2432.465825
-24275669.47434,16166,2438.334296
-22274100.108174,16166,2444.274714
-22762271.914779,16166,2449.970363
-22418403.429866,16166,2456.025787
-24111575.064311,16166,2463.3201
-23511412.052293,16166,2470.743155
-22448450.876007,16166,2478.630481
-44290239.115541,16166,2484.508983
-78642432.788421,16166,2491.787747
-79464795.448494,16166,2499.064864
-75183924.895685,16166,2505.039632
-63007749.986059,16166,2511.527544
-28789386.125637,16166,2520.161708
-21822336.565467,16166,2526.225378
-19814053.100518,16166,2534.215443
-21481693.648599,16166,2542.91598
-19248705.000665,16166,2551.523935
-25281916.621828,16166,2560.156145
-33552465.486461,16166,2566.151169
-34804196.618802,16166,2572.832947
-28757866.341797,16166,2578.51872
-20795099.525528,16166,2586.400978
-28954721.722666,16166,2592.305428
-40212890.075852,16166,2598.890384
-31582408.707563,16166,2607.47831
-28350527.461409,16166,2614.700856
-18015323.571929,16166,2620.626981
-19275608.99208,16166,2627.192854
-22637431.850978,16166,2633.777874
-22509079.081588,16166,2641.752922
-22274321.099248,16166,2647.976951
-19150253.586503,16166,2653.91837
-18389284.988875,16166,2661.195135
-21560550.138857,16166,2668.390639
-22752990.770014,16166,2675.032446
-24619875.60765,16166,2680.918021
-23200004.570979,16166,2688.809999
-18598126.761542,16166,2694.690622
-19226459.435389,16166,2703.337589
-18430491.058996,16166,2709.012802
-23079555.6042,16166,2715.652965
-20525782.842847,16166,2724.94955
-25716481.863584,16166,2732.948759
-21619249.078896,16166,2739.523565
-30656241.236759,16166,2745.408507
-41266664.075366,16166,2751.269062
-39223510.72046,16166,2758.565564
-27588644.882064,16166,2765.233445
-23058571.669007,16166,2772.569664
-23229372.932202,16166,2779.636283
-25368359.663508,16166,2787.666483
-20541207.680675,16166,2794.345583
-21403585.647537,16166,2802.38166
-21993306.688173,16166,2810.371074
-26628831.142755,16166,2821.742231
-30522337.609403,16166,2829.683672
-23388755.982993,16166,2836.295986
-25051920.379826,16166,2846.22417
-18316461.501751,16166,2855.147474
-21174901.259432,16166,2861.078883
-16660655.388778,16166,2868.302574
-21990236.307992,16166,2876.228163
-17812644.669683,16166,2882.850558
-20452637.157231,16166,2893.427404
-20890967.821882,16166,2900.710082
-19399903.508947,16166,2909.918411
-21423733.525188,16166,2916.488748
-19926530.100932,16166,2922.778656
-23629546.626589,16166,2929.617484
-25132706.275664,16166,2939.091274
-36296089.774952,16166,2945.531449
-51573666.185634,16166,2952.284194
-33575358.111322,16166,2962.764775
-19607936.264489,16166,2972.029639
-18335863.509986,16166,2978.01185
-24120018.238664,16166,2983.99093
-17873713.259789,16166,2993.350509
-26425636.186309,16166,2998.988845
-24422573.164762,16166,3004.962159
-32558845.761526,16166,3014.979904
-20835200.306244,16166,3022.316247
-24788825.787912,16166,3028.250121
-22655490.257384,16166,3034.183258
-21618011.059359,16166,3041.478579
-23350556.59428,16166,3051.449051
-22290379.533559,16166,3058.806282
-21964793.274776,16166,3064.547179
-22169094.898521,16166,3074.598128
-16191317.224557,16166,3081.253567
-23802824.430388,16166,3088.669734
-20360619.696078,16166,3096.048782
-22388187.925353,16166,3102.10757
-35193312.300413,16166,3108.064317
-44684196.416713,16166,3114.036026
-27841986.769853,16166,3121.398445
-22861116.70727,16166,3128.054795
-20933051.234497,16166,3136.397807
-19454190.673603,16166,3143.74568
-18112068.764564,16166,3153.784725
-20577407.442144,16166,3160.468092
-19479018.947722,16166,3166.434794
-33931048.712084,16166,3172.458213
-49174227.405249,16166,3180.354041
-39033023.877016,16166,3186.979988
-24947080.905021,16166,3194.351318
-21552029.073376,16166,3202.008056
-17269528.622702,16166,3208.623414
