#{"t_start": 1773868344.9124682, "env_id": "BuildingEnv"}
r,l,t
-295490.963543,16166,9.695419
-165395.726936,16166,17.986251
-187144.81794,16166,26.268796
-158217.464481,16166,34.574951
-192885.251923,16166,42.879391
-248901.075355,16166,51.107734
-408347.84314,16166,59.364096
-368023.603561,16166,67.609815
-181326.311371,16166,75.880473
-252685.107784,16166,83.772403
-183671.949825,16166,92.121645
-403852.439204,16166,100.384986
-453136.931035,16166,108.645751
-145014.505191,16166,116.919668
-273722.86624,16166,125.248176
-169730.114252,16166,133.519195
-200125.895828,16166,141.790305
-202936.326601,16166,150.044564
-225224.51192,16166,157.865751
-161502.04289,16166,166.125051
-249005.927881,16166,174.375835
-270942.120707,16166,182.644886
-197751.21609,16166,190.897269
-198397.183711,16166,199.186687
-189573.936302,16166,207.448303
-202238.381904,16166,215.707314
-182098.774735,16166,223.961465
-169244.916613,16166,232.242656
-170960.763327,16166,240.008535
-244475.884497,16166,248.268713
-219457.953881,16166,256.495012
-134642.579637,16166,264.710193
-183258.065682,16166,272.950964
-190562.436257,16166,281.194521
-167823.382859,16166,289.450167
-169586.999034,16166,297.6953
-219196.984325,16166,305.93536
-187896.880391,16166,313.689822
-187280.267289,16166,321.941993
-200328.815226,16166,330.161355
-202711.598732,16166,338.399144
-212882.923885,16166,346.607625
-210758.750592,16166,354.835163
-177414.494258,16166,363.060171
-160811.280772,16166,371.275669
-145427.693819,16166,379.506967
-157080.786332,16166,387.264575
-175676.972232,16166,395.468443
-116420.662817,16166,403.707537
-641458.43032,16166,411.937321
-259055.617515,16166,420.149513
-120023.438819,16166,428.371784
-254899.898775,16166,436.588305
-130110.720848,16166,444.884201
-233179.919247,16166,453.143378
-132315.487308,16166,461.389976
-185323.637638,16166,469.149416
-139180.275042,16166,477.370583
-134177.284319,16166,485.580706
-174521.064115,16166,493.817021
-223939.445178,16166,502.050438
-152294.225507,16166,510.289789
-185976.645676,16166,518.528835
-171813.261142,16166,526.814286
-162429.652234,16166,535.069567
-148257.049791,16166,542.843987
-195728.756873,16166,551.088751
-160652.088846,16166,559.315491
-163958.637218,16166,567.547144
-190969.279379,16166,575.768642
-822810.094352,16166,583.998855
-412016.277129,16166,592.255666
-218826.161939,16166,600.622449
-199642.374187,16166,608.880877
-232135.004839,16166,617.123229
-203111.799328,16166,624.910943
-190137.206113,16166,633.178758
-147015.349161,16166,641.402674
-138403.753902,16166,649.618836
-245782.959447,16166,657.838669
-175739.183011,16166,666.051453
-146001.238149,16166,674.290714
-128855.981197,16166,682.522868
-67813.224721,16166,690.763475
-94661.581946,16166,698.541703
-94504.194465,16166,706.759656
-91391.615943,16166,715.017849
-79345.810611,16166,723.249721
-139738.666848,16166,731.51054
-200781.098557,16166,739.783722
-186411.702923,16166,748.033449
-143571.7699,16166,756.256236
-158618.43451,16166,764.506761
-185405.743475,16166,772.310761
-85468.41183,16166,780.565826
-187257.113202,16166,788.834528
-117768.630964,16166,797.092806
-140765.092274,16166,805.338218
-357595.197039,16166,813.697834
-233353.314643,16166,821.990684
-202411.346274,16166,830.295649
-163842.516203,16166,838.57264
-188023.049822,16166,846.872607
-141629.667396,16166,854.721148
-172155.293826,16166,863.052206
-166337.809777,16166,871.352982
-175029.819562,16166,879.674951
-172290.342904,16166,888.026667
-129987.129625,16166,896.345492
-144622.590878,16166,904.661906
-96208.0294,16166,913.041665
-136767.905662,16166,921.429027
-171041.043007,16166,929.361708
-99461.639079,16166,937.760348
-129647.973566,16166,946.21388
-118594.374624,16166,954.643543
-142118.40222,16166,962.884695
-185676.326907,16166,971.145973
-104285.961097,16166,979.387269
-105471.521827,16166,987.658393
-72955.182139,16166,995.969369
-93522.327758,16166,1004.204356
-489506.267574,16166,1012.028655
-109398.216466,16166,1020.278235
-92018.608936,16166,1028.639166
-95863.885724,16166,1036.925552
-109484.385086,16166,1045.200502
-103531.920945,16166,1053.500416
-97693.236449,16166,1061.823036
-96069.337299,16166,1070.104762
-104714.407111,16166,1078.43977
-165660.628213,16166,1086.292982
-104458.352278,16166,1094.620754
-177670.910356,16166,1102.974174
-140850.967324,16166,1111.427403
-111998.639881,16166,1119.849734
-163427.591555,16166,1128.328892
-69958.087268,16166,1136.861444
-78215.300112,16166,1145.392201
-71103.764552,16166,1153.859972
-45308.315355,16166,1161.837628
-59644.940239,16166,1170.295863
-38560.004306,16166,1178.75002
-30528.377952,16166,1187.246734
-28042.086603,16166,1195.806262
-62327.171249,16166,1204.332608
-46733.897586,16166,1212.821436
-41396.763615,16166,1221.383589
-132747.833549,16166,1229.916733
-28278.454601,16166,1238.437311
-36824.83713,16166,1246.432077
-28833.834868,16166,1254.97576
-31620.033527,16166,1263.487169
