#{"t_start": 1747143335.371473, "env_id": "BuildingEnv"}
r,l,t
-4923874156.097965,16166,6.15772
-4775544183.005991,16166,11.379421
-4861060321.202479,16166,16.724641
-4670362887.970798,16166,22.067166
-4813450136.885532,16166,27.513664
-4568927690.126771,16166,32.999504
-4646852059.714033,16166,38.463951
-4526102962.671309,16166,43.929636
-4443790461.980549,16166,49.226758
-4562007029.040751,16166,54.524624
-4333819702.870296,16166,60.065224
-4342883220.425911,16166,65.386587
-4387137005.019149,16166,70.845414
-4174961449.592937,16166,76.489876
-4216091320.008731,16166,82.032706
-4054368126.87352,16166,87.73181
-4083887533.413748,16166,93.296508
-4228753445.052534,16166,98.823234
-4099500921.898502,16166,104.341735
-3926588201.992633,16166,109.881955
-4001477814.077064,16166,115.299275
-3828924092.268643,16166,120.993301
-3884266782.165433,16166,126.709208
-3693444532.605336,16166,132.156819
-3775922544.56151,16166,137.588567
-3694537451.806169,16166,143.037905
-3681508411.873632,16166,148.488122
-3434274154.887851,16166,154.109836
-3572122539.043473,16166,159.650533
-3605532547.281353,16166,165.074551
-3389494694.600003,16166,170.538509
-3295898027.717792,16166,175.968096
-3346878614.466156,16166,181.376295
-3367573812.706167,16166,186.753905
-3314203297.253647,16166,192.243254
-3303562295.277593,16166,197.675817
-3233363148.810905,16166,203.089054
-3300598827.307933,16166,208.744427
-3210558791.608936,16166,214.301511
-3148168090.305391,16166,219.906027
-3146815479.080098,16166,225.501517
-3050496813.558399,16166,231.294389
-2970838362.31966,16166,236.974913
-2986801574.287466,16166,242.93211
-2828119582.427718,16166,248.843903
-2820053953.767593,16166,254.797887
-2925955916.603197,16166,260.577227
-2779449278.197642,16166,266.755716
-2737972970.595476,16166,272.833096
-2731726434.747558,16166,278.777399
-2740070246.260712,16166,285.026288
-2703224600.53558,16166,291.030373
-2551475776.009673,16166,297.028173
-2662179433.94188,16166,303.018221
-2506732930.363066,16166,309.024308
-2436796018.372495,16166,315.059683
-2455891745.326471,16166,321.091155
-2450777380.063945,16166,327.119833
-2346973999.701609,16166,333.162162
-2332277795.339324,16166,339.293492
-2349962483.283209,16166,345.529262
-2333768820.185697,16166,351.70871
-2356964143.619679,16166,357.84241
-2191631381.602222,16166,363.750719
-2186645634.905239,16166,369.888611
-2098265557.313719,16166,375.932275
-2155211579.195379,16166,381.986186
-2196533016.420685,16166,388.057227
-1988880828.626366,16166,394.07683
-1998183633.846204,16166,400.076532
-2012719728.608845,16166,406.127635
-2006021430.985887,16166,412.166642
-1994656202.446848,16166,418.176054
-1889272518.830277,16166,424.18409
-1861760292.936312,16166,430.201089
-1828783612.278481,16166,436.415184
-1810629755.908366,16166,442.59531
-1743477009.68184,16166,448.664701
-1812345953.202187,16166,454.690223
-1816213874.320672,16166,460.614233
-1706419399.237104,16166,466.496734
-1633540192.260093,16166,472.516597
-1632640698.728074,16166,478.61673
-1684040851.191693,16166,484.569378
-1535433148.84563,16166,490.616348
-1606136477.502507,16166,496.662285
-1605905916.789756,16166,502.911225
-1523632352.784519,16166,509.45486
-1542915036.271924,16166,515.762423
-1532739359.446222,16166,521.913205
-1380915684.944674,16166,528.110121
