#{"t_start": 1747168037.9444034, "env_id": "BuildingEnv"}
r,l,t
-276092375.106117,16166,5.884118
-273727527.081307,16166,11.064899
-269458701.761777,16166,16.23051
-274672111.067361,16166,21.420292
-272209720.356511,16166,26.729276
-270762354.899114,16166,31.975486
-264707969.489401,16166,37.238686
-265135748.920809,16166,42.45754
-263672125.959706,16166,47.695042
-265092961.152663,16166,53.000693
-266169339.298063,16166,58.191553
-262687013.964162,16166,63.390638
-258077836.197791,16166,68.66504
-258937622.787467,16166,73.888768
-256636083.089089,16166,79.158473
-254790711.365117,16166,84.337322
-250928205.434836,16166,89.536412
-247019214.410649,16166,95.048744
-249405634.076797,16166,100.5705
-245661189.620356,16166,105.860816
-245165303.024037,16166,111.017556
-249184631.199302,16166,116.213622
-246091528.096644,16166,121.540059
-243090179.848286,16166,126.747032
-236048842.486125,16166,132.038368
-244232748.546483,16166,137.296178
-235473340.628781,16166,142.514341
-240155058.897936,16166,147.874639
-232972657.408694,16166,153.392702
-231125374.991231,16166,158.967862
-235926638.963645,16166,164.465706
-234234526.15714,16166,169.809616
-228082432.191089,16166,175.248858
-228559267.910284,16166,180.596057
-226184117.19916,16166,185.934821
-223843203.318552,16166,191.247418
-219726170.205901,16166,196.538147
-222890953.967805,16166,201.846183
-223561882.371743,16166,207.233989
-216548340.199137,16166,212.817927
-215242869.98928,16166,218.646934
-213550466.565098,16166,224.435807
-217220798.530909,16166,230.009359
-213422209.889761,16166,235.661177
-211051938.478307,16166,241.391695
-209512034.715194,16166,247.231574
-209833964.867717,16166,252.69939
-213736709.78983,16166,258.300118
-207153018.045216,16166,264.059277
-200993309.628035,16166,269.676857
-202943151.662354,16166,275.42838
-201747063.041529,16166,281.221518
-199434535.738488,16166,286.885087
-199995798.676869,16166,292.602811
-197496773.225066,16166,298.133262
-197799140.693382,16166,303.744159
-194543061.755663,16166,309.566323
-190662354.768502,16166,315.1893
-197099459.269346,16166,320.832955
-187959705.271977,16166,326.503874
-191688047.957493,16166,332.281684
-180625931.176731,16166,338.062474
-183405147.703178,16166,343.613225
-181722932.044287,16166,349.169624
-175995284.641521,16166,354.978058
-177322938.591986,16166,360.537535
-182510508.756635,16166,366.121952
-177244861.079769,16166,371.776072
-171725223.592059,16166,377.516294
-177936860.301705,16166,383.178351
-170362022.700457,16166,389.073656
-165583660.506722,16166,394.997508
-173280046.130534,16166,400.640696
-169962258.462474,16166,406.306181
-165606028.853956,16166,412.01955
-170318305.442716,16166,417.679236
-161969324.901968,16166,423.39929
-168209799.851817,16166,429.257857
-158650485.408929,16166,435.135074
-163631898.208758,16166,441.140456
-159623994.951221,16166,446.938751
-156426869.500341,16166,452.674236
-156943413.73457,16166,458.732525
-157460154.817068,16166,464.601177
-154014857.033868,16166,470.758794
-148442623.563669,16166,476.643639
-146669799.075058,16166,482.430857
-145750741.622325,16166,488.260778
-156501737.33734,16166,494.26754
-150468254.242839,16166,500.186345
-143579239.947443,16166,506.305107
-144392565.162271,16166,512.184105
-139596412.625494,16166,518.39482
-137915239.387059,16166,524.39455
-139865082.806182,16166,530.310148
-135440251.059102,16166,536.521555
-135566020.638954,16166,542.498069
-138144403.893861,16166,548.589677
-133631653.813752,16166,554.653312
-131299758.109053,16166,560.676268
-136923623.249411,16166,566.637927
-127068317.021031,16166,572.71729
-134447917.478392,16166,578.872621
-123226597.031969,16166,585.071441
-123697687.022575,16166,591.00638
-120953992.675142,16166,597.206562
-123451265.275332,16166,603.218236
-117018444.662876,16166,609.413966
