#{"t_start": 1773865400.7544334, "env_id": "BuildingEnv"}
r,l,t
-4984895491.010864,16166,10.18275
-4789201278.979441,16166,16.190542
-4935829157.65032,16166,22.165588
-4700638097.460931,16166,28.108337
-4700478095.175921,16166,34.113132
-4660877913.993152,16166,40.113259
-4508615522.405963,16166,46.143589
-4363245294.798813,16166,52.120467
-4444695210.178562,16166,58.091294
-4560020092.62394,16166,64.107549
-4331082174.337751,16166,70.16867
-4171518320.878385,16166,76.210832
-4194290560.845959,16166,82.246501
-4214696886.373004,16166,88.318567
-4231305228.395316,16166,94.42809
-4184701252.921031,16166,100.570759
-4164824389.156659,16166,106.740758
-4048686568.373425,16166,112.954558
-4028091934.791062,16166,119.175894
-3851415733.195768,16166,125.405351
-3802605226.230093,16166,131.721766
-3849871191.243308,16166,137.97702
-3874309478.259274,16166,144.271441
-3746374627.558466,16166,150.578763
-3782360043.282778,16166,156.822274
-3695710564.24208,16166,163.094323
-3597688683.406702,16166,169.403694
-3562231375.109963,16166,175.735532
-3657096560.772574,16166,182.075547
-3577118759.419891,16166,188.476396
-3415882436.544486,16166,194.736644
-3505144089.421468,16166,201.005867
-3534703317.144005,16166,207.289376
-3389517314.149995,16166,213.574009
-3337341697.338667,16166,219.897545
-3223166081.821491,16166,226.18928
-3222247558.933782,16166,232.502106
-3083421240.995764,16166,238.744272
-2986057363.468408,16166,245.005563
-2998797273.168456,16166,251.278979
-3165481902.956349,16166,257.541037
-3171688156.673341,16166,263.847309
-3114421444.365653,16166,270.048315
-3006564655.310269,16166,276.425771
-2832890101.435343,16166,282.831537
-2677066506.093629,16166,289.29653
-2824616301.317072,16166,295.806742
-2837182071.027477,16166,302.258901
-2784559455.064553,16166,308.753247
-2743403124.682065,16166,315.39836
-2764111256.973374,16166,321.949993
-2732656264.545181,16166,328.348116
-2646340794.747629,16166,334.762322
-2508862339.09425,16166,341.232329
-2587660026.049437,16166,347.653086
-2441048923.744732,16166,354.143567
-2510710820.383433,16166,360.604728
-2430158265.174057,16166,367.002341
-2390952679.468415,16166,373.419368
-2382764258.825125,16166,379.903725
-2401996987.696593,16166,386.42931
-2300789537.438494,16166,392.952745
-2309393844.055096,16166,399.567507
-2261803667.939436,16166,406.028049
-2146674042.50472,16166,412.565611
-2208435786.59655,16166,419.051113
-2150613633.393426,16166,425.484937
-2112615698.784593,16166,432.056766
-2213984855.659018,16166,438.624474
-2155160209.644871,16166,445.179249
-1964573367.802888,16166,451.750597
-2097277655.596675,16166,458.332084
-1967424807.479314,16166,464.894623
-1954531294.623603,16166,471.433089
-1927334336.127803,16166,478.032241
-1877851384.07216,16166,484.697381
-1776060335.338115,16166,491.344944
-1825988357.043709,16166,497.996245
-1758365857.379771,16166,504.63409
-1688476332.77597,16166,511.254017
-1739816753.661098,16166,517.906977
-1681377547.860781,16166,524.612741
-1605074737.933676,16166,531.269919
-1616565792.672164,16166,537.83898
-1501715737.907089,16166,544.511234
-1590336807.60882,16166,551.196683
-1518539819.807737,16166,557.917079
-1463506778.981918,16166,564.623662
-1466943227.414371,16166,571.356909
-1559637177.499996,16166,578.001884
-1491875822.112618,16166,584.701317
-1367589181.118191,16166,591.446158
-1318582542.536045,16166,598.198956
-1431513104.287082,16166,604.973026
-1348351845.93257,16166,612.243972
-1401391981.171399,16166,619.240908
-1349505222.379581,16166,626.144751
-1258857535.790115,16166,633.064909
-1262420632.26351,16166,640.0471
-1296153788.333968,16166,647.05139
-1119324519.916223,16166,653.941337
-1294346341.229718,16166,660.743483
-1036946905.693043,16166,667.566165
-1158557366.084225,16166,674.369866
-1021168970.434438,16166,681.183897
-1068993421.519208,16166,688.013752
-1119239412.242796,16166,694.796313
-1057155805.341464,16166,701.57762
-962702892.198527,16166,708.463175
-1040772509.19636,16166,715.258902
-1044955472.481839,16166,722.109993
-992812144.074774,16166,729.042869
-930789870.865372,16166,735.902946
-896923154.130198,16166,742.873081
-862612745.21274,16166,749.746207
-854647570.80312,16166,756.608744
-867434914.65707,16166,763.598645
-834131667.447065,16166,770.628688
-822375154.181491,16166,777.610435
-812431239.04131,16166,784.55444
-729385791.943635,16166,791.529884
-707137400.177769,16166,798.483593
-673037446.457756,16166,805.42648
-665526422.451387,16166,812.31653
-722219679.177426,16166,819.349126
-721364566.909148,16166,826.338481
-628212016.177105,16166,833.369735
-650272030.809377,16166,840.396949
-638144956.09073,16166,847.375777
-596970617.20076,16166,854.286226
-614667267.075889,16166,861.243387
-593655191.885513,16166,868.21621
-591723444.388486,16166,875.221577
-552371548.150602,16166,882.163778
-549778356.249883,16166,889.093953
-571305731.645054,16166,896.03369
-548324390.40381,16166,903.006768
-484581361.810269,16166,910.037248
-506783110.941909,16166,917.070609
-424182989.570408,16166,924.125954
-446146225.291287,16166,931.329307
-427461789.874228,16166,938.490827
-473396041.326531,16166,945.6093
-392082942.378979,16166,952.655975
-417206501.619573,16166,959.710961
-392638235.145929,16166,966.768319
-345830834.144625,16166,973.888212
-354448864.699377,16166,981.156706
-356567156.156824,16166,988.364306
-347085317.710259,16166,995.622011
-342253915.283307,16166,1002.828736
-312100340.043536,16166,1010.239426
-354797357.84103,16166,1017.862794
-270065526.424642,16166,1025.191845
-285333949.381503,16166,1032.567086
-260944246.620932,16166,1039.677729
-234599938.272987,16166,1046.936935
-251724362.226159,16166,1054.1866
-230959628.88971,16166,1061.415973
-234303713.932665,16166,1068.61355
-229811408.000613,16166,1075.816489
-204272656.384486,16166,1083.164966
-207028918.664214,16166,1090.36609
-210274555.154414,16166,1097.868527
-172789762.736589,16166,1105.13249
-168117813.654157,16166,1112.426814
-174967172.529464,16166,1119.690133
-161517432.627243,16166,1127.003671
-162307054.577505,16166,1134.359652
-148017595.686295,16166,1141.717325
-184650737.441496,16166,1149.079052
-143093497.719365,16166,1156.374143
-155213350.334845,16166,1163.757378
-140783215.784833,16166,1171.193837
-120636262.525094,16166,1178.590949
-130909554.12379,16166,1185.896673
-126083226.537725,16166,1193.278762
-138541251.573663,16166,1200.627289
-123955328.09003,16166,1207.972001
-106448026.497172,16166,1215.417666
-96983960.539644,16166,1222.884861
-87099659.556049,16166,1230.328871
-93187706.013615,16166,1237.667804
-122363979.437514,16166,1244.995762
-95524598.276789,16166,1252.317408
-74695715.61743,16166,1259.631754
-101125311.117653,16166,1266.985087
-81287397.481496,16166,1274.350403
-76471358.37252,16166,1281.708665
-82065387.761691,16166,1289.076751
-75328979.134286,16166,1296.456565
-67606039.301067,16166,1303.865136
-68009107.228298,16166,1311.252245
-73539932.526184,16166,1318.662772
-62193399.410594,16166,1326.209914
-78617415.308182,16166,1333.66391
-86694126.278972,16166,1341.119958
-84392138.928787,16166,1348.552746
-73868017.595094,16166,1356.050914
-85324233.063451,16166,1363.500394
-74091029.711399,16166,1371.053904
-83762159.177901,16166,1378.619415
-62527405.210583,16166,1386.070601
-58720667.582878,16166,1393.634553
-85397567.096779,16166,1401.156337
-88090626.896425,16166,1408.627033
-74039412.919016,16166,1416.341429
-87974667.892572,16166,1423.949564
-82905589.474227,16166,1431.510197
-69353522.950426,16166,1439.096241
-72572351.387356,16166,1446.819803
-95085524.022997,16166,1454.485558
-82332998.655374,16166,1461.987788
-84368244.369152,16166,1469.539603
-90718395.883668,16166,1477.152427
-88811447.648232,16166,1484.83492
-97642839.954189,16166,1492.550862
-98731414.675115,16166,1500.274803
-115499497.884156,16166,1508.063854
-105935145.795017,16166,1515.766982
-119947546.888429,16166,1523.457124
-100767041.131067,16166,1531.138913
-122198186.247031,16166,1538.748919
-130559722.976222,16166,1546.323248
-141067322.311836,16166,1553.981042
-116824183.836646,16166,1561.533959
-139886593.704786,16166,1569.151329
-136433437.517196,16166,1576.670703
-165749586.322779,16166,1584.276796
-166471714.417963,16166,1591.95063
-155279049.042182,16166,1599.895512
-164377063.951426,16166,1607.671592
-154044385.006676,16166,1615.45529
-174870633.50718,16166,1623.271597
-168914088.067445,16166,1631.119093
-181188276.323682,16166,1639.058661
-168606912.244725,16166,1647.271176
-165045570.712229,16166,1655.136408
-197694770.828236,16166,1663.04062
-197230836.057833,16166,1670.981707
-207068171.27032,16166,1678.801471
-196905839.736035,16166,1686.709055
-212442900.827241,16166,1694.574754
-227742689.996203,16166,1702.514598
-214812234.789698,16166,1710.479133
-238253614.246845,16166,1718.398583
-240372991.310394,16166,1726.326247
-230473330.233186,16166,1734.279706
-251772218.915925,16166,1742.222686
-234581296.77581,16166,1750.277631
-237308799.813548,16166,1758.303525
-238403910.449315,16166,1766.333946
-255975474.149944,16166,1774.374159
-239313726.973446,16166,1782.384128
-245308102.461185,16166,1790.310318
-233164738.213706,16166,1798.320856
-237890156.105886,16166,1806.2876
-240599701.801203,16166,1814.296559
-218431268.126758,16166,1822.359194
-224752090.657851,16166,1830.423065
-229994476.704829,16166,1838.473505
-235113050.16999,16166,1846.494007
-234310797.704814,16166,1854.573905
-244267327.975996,16166,1862.672993
-242576462.225878,16166,1870.669115
-241106190.805869,16166,1878.691761
-237502013.72909,16166,1886.64683
-229760204.767621,16166,1894.563218
-245558267.997367,16166,1902.468161
-235777357.581379,16166,1910.376954
-221022357.200045,16166,1918.283677
-214812587.450262,16166,1926.183963
-220392642.740558,16166,1934.069906
-216427086.96471,16166,1941.976969
-206021391.616223,16166,1949.945427
-211640663.032106,16166,1957.867253
-217692229.905432,16166,1965.817886
-220340817.214391,16166,1973.72885
-178745164.647004,16166,1981.710515
-190383998.867508,16166,1989.761399
-183184806.211763,16166,1998.108551
-159931847.011999,16166,2006.305405
-177251175.747391,16166,2014.516929
-175418990.831682,16166,2022.760195
-186142927.107157,16166,2031.074844
-162536117.837717,16166,2039.355799
-153988789.086893,16166,2047.607699
-149507914.16724,16166,2055.888101
-138918400.245393,16166,2064.20123
-138954191.189479,16166,2072.518494
-126076816.243757,16166,2080.7588
-153796923.407374,16166,2089.001404
-131615116.570633,16166,2097.249344
-116842804.715468,16166,2105.587014
-133219482.578681,16166,2113.906506
-101646230.161872,16166,2122.119418
-92517707.027761,16166,2130.30845
-80742220.1912,16166,2138.529741
-62209981.116495,16166,2146.852816
-64185506.556682,16166,2155.088291
-72568577.375876,16166,2163.321254
-88253124.698099,16166,2171.5607
-95919405.093288,16166,2179.822713
-116073045.088756,16166,2188.043529
-110387365.105747,16166,2196.416017
-114748248.348348,16166,2204.920285
-117573600.660516,16166,2213.241552
-125195763.746201,16166,2221.504288
-184335719.18297,16166,2229.856245
-128126299.93119,16166,2238.441765
